"CORP","Quarterly Data","Current Ratio","Long-term Debt / Capital","Debt/Equity Ratio","Gross Margin","Operating Margin","EBIT Margin","EBITDA Margin","Pre-Tax Profit Margin","Net Profit Margin","Asset Turnover","Inventory Turnover Ratio","Receiveable Turnover","Days Sales In Receivables","ROE - Return On Equity","Return On Tangible Equity","ROA - Return On Assets","ROI - Return On Investment","Book Value Per Share","Operating Cash Flow Per Share","Free Cash Flow Per Share","Basic EPS","SH LOG10","Bin"
"XLNX","9/30/2008","5.7144","0.3905","0.6408","63.3106","25.7759","25.7759","0","21.2755","16.764","0.1586","1.252","2.0657","43.5686","5.1965","5.6411","2.6587","3.1671","5.6951","0.3474","0.3047","0.29","-0.032118516883558","1"
"XLNX","12/31/2008","6.281","0.313","0.4556","63.932","26.0876","26.0876","0","34.1609","26.0575","0.1591","1.1065","2.1461","41.9364","7.1588","7.7209","4.1453","4.9182","6.087","0.4801","0.4388","0.44","-0.11923516587027","1"
"XLNX","3/31/2009","7.5192","0.153","0.1807","62.0502","19.8117","19.8117","0","23.2053","19.7555","0.1405","1.251","1.8255","49.3023","4.0044","4.2683","2.7752","3.3916","7.0734","0.2066","0.1846","0.28","0.03148780504167","1"
"XLNX","6/30/2009","7.4728","0.1556","0.1843","61.7734","15.2458","15.2458","0","12.346","10.1017","0.1322","1.4216","1.9203","46.8686","1.9877","2.1184","1.3358","1.6784","6.9275","0.532","0.5149","0.14","0.028510103407101","1"
"XLNX","9/30/2009","6.6486","0.1524","0.1798","61.8805","19.7836","19.7836","0","19.3541","15.4327","0.1402","1.5668","1.8306","49.1639","3.257","3.4649","2.1629","2.7607","7.1016","0.4245","0.4097","0.23","0.058681282586718","1"
"XLNX","12/31/2009","5.4113","0.1484","0.1743","64.0946","26.6084","26.6084","0","25.9104","20.8256","0.1644","1.4296","2.2215","40.5124","5.2563","5.5799","3.4244","4.4762","7.352","0.6604","0.6294","0.39","0.0293941585916","1"
"XLNX","3/31/2010","5.3395","0.1433","0.1673","64.9382","29.508","29.508","0","30.6215","28.0768","0.1661","1.4199","2.0135","44.698","7.0047","7.4173","4.6645","6.0006","7.7535","0.3845","0.3457","0.54","0.0075591311060111","1"
"XLNX","6/30/2010","5.9561","0.3127","0.455","64.997","34.9766","34.9766","0","34.1141","26.6651","0.1712","1.3729","1.6734","53.7827","8.4937","9.0664","4.5663","5.8376","7.2137","0.3812","0.3149","0.58","-0.0041068342146432","1"
"XLNX","9/30/2010","5.9972","0.3037","0.4363","65.5847","35.9313","35.9313","0","35.3691","27.5786","0.1668","1.2531","1.113","80.8644","8.43","8.9508","4.5991","5.8694","7.8236","0.1758","0.1151","0.66","0.023100857976606","1"
"XLNX","12/31/2010","6.7481","0.2899","0.4082","65.7224","32.3544","32.3544","0","31.7722","26.8589","0.147","0.8016","1.5344","58.6561","7.0087","7.4108","3.9483","4.9772","8.3261","1.2608","1.2045","0.59","0.036564176939238","1"
